Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1 Producer,E1 Evidence,E2 Accessible,E2 Evidence,C3 Differentiated,C3 Evidence,C4 Decision-Maker Quality,C4 Evidence,C5 Growing Sector,C5 Evidence,C6 Growth Signals,C6 Evidence,C7 Systems Maturity,C7 Evidence,C8 Leadership Succession,C8 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Devarsons Industries Pvt Ltd,devarsons.com,Ahmedabad,Performance chemicals (specialty dyes/pigments) - Basket A,"Application-specific specialty dyes and pigments custom-formulated for cosmetics, food, NDT (non-destructive testing), and medical uses - most under client NDA, not commodity dyes","Unknown (likely <Rs.30Cr - needs verification; 100-200 employees, paid-up capital only Rs.63.8L per MCA)","Gaurang Shah, Samir Shah, Sandeep Shah",Directors (promoter family),3rd-generation family directors; described as 'techno-commercial personnel'; no specific technical degree confirmed in public sources,PASS,Own manufacturing facility in Ahmedabad since 1923; ISO 9001/14001/OHSAS 18001 certified; in-house R&D program per company site,PASS,"HQ and manufacturing both in Ahmedabad (MCA-registered, ROC Ahmedabad)",Moderate,"Positions itself as a 'colour solution provider not a dye supplier' - custom molecule development for niche applications (NDT, medicine) under NDA. No patents, USFDA, or DSIR recognition found in public search.",Moderate,"Family-run, 3rd-gen directors (Shah family) with decades of combined tenure (Samir since 1995, Sandeep since 1996 per MCA). No confirmed technical/scientific pedigree found.",Moderate,Dyes/specialty pigments have steady but not high-growth demand; Government Recognized Export House status signals some export tailwind.,Weak,"No hiring, facility expansion, or new certification news found in the last 2 years via search. Website has no active news/press section.",Moderate,"Formal in-house R&D department + three ISO certifications signal some process discipline, but no ERP/SAP or MIS evidence found - needs direct verification (LinkedIn IT roles, careers page).",Moderate,Three family directors of similar generation; no clearly distinct gen-2 successor with outside education/career found in public sources.,48,C - Borderline,Borderline - needs further research,"Genuine niche differentiation (102-year legacy, NDA-based custom dye chemistry, real R&D infrastructure) but revenue, ERP/systems use, and growth signals could not be confirmed from public web sources alone. This is a realistic 'borderline' case - promising enough to investigate further (LinkedIn job postings, direct outreach to confirm revenue band and SAP/ERP usage) rather than an outright pass or fail.","A 102-year-old Ahmedabad dye house that calls itself a 'colour solution provider, not a dye supplier' - custom-formulating dyes for aerospace NDT and medical-device applications under client NDA.",devarsons.com; LinkedIn company page; thecompanycheck.com (MCA filing data); indiamart.com company profile
Fairchem Organics Ltd,fairchem.in,Ahmedabad (Sanand),Specialty/performance chemicals - oleochemicals & nutraceuticals - Basket A,"Dimer Acid, Linoleic Acid, Mixed Tocopherol Concentrate (natural Vitamin-E), Sterols - manufactured from vegetable-oil refining waste using proprietary purification process",Rs.300-500Cr (Rs.463Cr FY25 per Screener.in),Nahoosh Jariwala,Chairman & Managing Director,30+ years in the chemical industry; B.Com from Gujarat University (Screener/company site) - not a technical/scientist founder,PASS,"Own manufacturing facility at Sanand, Ahmedabad since 1995; imported German (UIC) and Swiss (Sulzer) processing equipment",PASS,HQ and manufacturing plant both in Ahmedabad district (Sanand),Strong,India's only manufacturer of Dimer Acid; proprietary process converting vegetable-oil refining waste into high-value oleochemicals; leadership position with real barriers to entry (waste-stream sourcing + processing know-how),Moderate,"Jariwala is a long-tenured industry operator (30+ yrs) but a commerce graduate, not a scientist - falls short of the 'operator built ERP/formal systems' bar without further evidence",Moderate,Nutraceutical and specialty oleochemical exports have moderate global tailwind; not a top-tier policy-supported sector,Weak,"5-year sales growth only 11.9% (Screener); Q3 FY25 standalone net sales down 23.3% YoY (Moneycontrol via Tracxn) - declining, not growing",Moderate,"Public company with formal board/audit structure and quarterly disclosures, but no specific ERP/SAP confirmation found",Not scored,Not scored - disqualified on ownership structure,0,D - Auto-disqualify,Fail - Auto-disqualify (PE/institutionally controlled),"Genuinely strong technical differentiation (India's only Dimer Acid producer) but Fairfax India Holdings - the investment vehicle of billionaire Prem Watsa - holds the controlling promoter stake (~63% per Screener; historically ~48-52% per other sources, with total promoter group ~74%). Decision-making sits with an institutional investor, not an independent founder building in-house capability - the same disqualifying pattern as the Suven Pharma example in the assignment brief. Also currently showing declining, not growing, sales.",—,screener.in/company/FAIRCHEMOR; fairchem.in/about-us; uncommonprofits.in (Fairchem ownership breakdown); tracxn.com (Q3 FY25 sales decline)
Asahi Songwon Colors Ltd,asahisongwon.com,Ahmedabad,Performance chemicals - pigments - Basket A,CPC Blue Crude and phthalocyanine (Alpha/Beta Blue) pigments - world's largest producer of CPC blue crude with strong backward integration; expanding into AZO pigments and APIs,Rs.500Cr+ (Rs.535Cr FY26 per Screener.in),Paru M. Jaykrishna (Chairperson); Gokul & Munjal Jaykrishna (Joint MDs),Chairperson & Joint MDs,"Family promoters; Gokul and Munjal Jaykrishna both hold Finance/Economics degrees from Lehigh University, USA and have 20+ years each in the business",PASS,"Manufacturing facilities at Padra and Dahej (Vadodara district), HQ in Ahmedabad",PASS,HQ (Asahi House) is in Ahmedabad; promoter leadership based in Ahmedabad,Strong,"World's largest producer of CPC Blue Crude with strong backward integration - a genuine global-scale technical moat, not a commodity position",Strong,Two joint MDs with US finance/economics degrees (Lehigh University) actively running operations for 20+ years each - clear operator-founder profile,Moderate,"Pigments for paints/inks/plastics/textiles is a stable, export-oriented sector; company diversifying into APIs for additional tailwind",Not scored,Not scored - disqualified on revenue,Not scored,Not scored - disqualified on revenue,Not scored,Not scored - disqualified on revenue,0,D - Auto-disqualify,Fail - Auto-disqualify (revenue exceeds Rs.500Cr ceiling),"Revenue Rs.535Cr (FY26) exceeds the Rs.500Cr ceiling - would likely have scored A-band on nearly every other criterion (global-scale technical differentiation, Lehigh-educated operator-founders, genuine promoter control at ~67% holding). Worth flagging: check whether the company reports segment-wise or subsidiary-level revenue that might isolate a sub-Rs.500Cr specialty unit, since 'check current revenue, not just last annual report' cuts both ways in a fast-growing sector.",—,screener.in/company/ASAHISONG; indiamart.com/asahi-songwoncolors/aboutus.html
Epigral Ltd (formerly Meghmani Finechem Ltd),epigral.com,Ahmedabad,Specialty/performance chemicals - chlor-alkali derivatives - Basket A,"Chloromethanes (MDC, Chloroform, CTC), CPVC Resin, Epichlorohydrin, Hydrogen Peroxide, Caustic Soda/Potash - India's largest CPVC resin plant and first Epichlorohydrin plant",Rs.500Cr+ (Rs.2550Cr total income FY25 per Screener/Allvest.co),Maulik Patel,Chairman & Managing Director,Promoter-founder from the Meghmani group family; company demerged from Meghmani Organics in 2021,PASS,Fully integrated automated manufacturing complex at Dahej (PCPIR region) with captive power plants,PASS,HQ in Ahmedabad; primary manufacturing at Dahej within Gujarat,Strong,1st company in India to set up an Epichlorohydrin plant; largest-capacity CPVC resin plant in India; backward-and-forward integrated complex - genuine capability-based differentiation,Not scored,Not scored - disqualified on revenue,Strong,CPVC/specialty derivatives directly benefit from Make-in-India import substitution (CPVC and Epichlorohydrin were previously fully imported),Not scored,Not scored - disqualified on revenue,Not scored,Not scored - disqualified on revenue,Not scored,Not scored - disqualified on revenue,0,D - Auto-disqualify,Fail - Auto-disqualify (revenue far exceeds Rs.500Cr ceiling),"Revenue has scaled to ~Rs.2550Cr total income (FY25) - far past the Rs.500Cr ceiling; market cap ~Rs.7900Cr. This is a useful pattern to flag in the methodology doc: several of Ahmedabad's most 'differentiated' specialty chemical companies have already scaled past DT's target band, meaning genuine Federer-fit candidates in this city are more likely to be found among unlisted, earlier-stage promoter-driven firms than among the well-known listed names that show up first in search.",—,screener.in/company/EPIGRAL; epigral.com; allvest.co (Epigral company profile)
Panacea Phytoextracts Pvt Ltd,panaceaphytoextracts.com,Ahmedabad (Makarba),Specialty food & nutraceutical ingredients - botanical extracts - Basket B,"Standardized herbal/botanical extracts (ashwagandha, green tea, aloe vera, amla, and 25+ others) for nutraceuticals, herbal biomedicines, food supplements and cosmetics",<Rs.30Cr (~USD 3M / ~Rs.25Cr per RocketReach; ~5 employees per RocketReach vs 51-200 range elsewhere - likely on the smaller end),Not clearly identifiable,Not found in public sources,Not found - no named founder/MD in public search results,PASS,"Own processing facility in Ahmedabad with procurement, processing, QC, R&D, and packaging departments per company site; GMP/Kosher/Halal certified",PASS,Registered office and operations in Ahmedabad (Makarba),Moderate,"GMP/Kosher/Halal-certified botanical extracts, but botanical extraction is a crowded field (118+ active competitors per Tracxn) with no patents, DSIR recognition, or proprietary process claimed",Weak,"No identifiable technical or scientist founder found; company structure (originally a sole proprietorship, incorporated as Pvt Ltd only in 2019) and ~5-employee headcount suggest thin leadership bench",Moderate,Botanical extracts / nutraceutical ingredients have genuine global export tailwind (WHO-cited rising demand for herbal medicine),Weak,"No hiring, expansion, or new-certification news found in the last 2 years; website has no active press/news section",Weak,"No ERP, MIS, or digital infrastructure evidence found; very small team size makes structured systems unlikely",Weak,No succession or professional-management evidence found,16,D - Not ICP,"Fail - Not ICP (too small, thin infrastructure)","Looks like a segment fit on paper (botanical extracts, Basket B) but fails on scale and systems: revenue is well under Rs.30Cr, headcount is tiny, and no decision-maker, ERP, or growth signal could be confirmed anywhere in public sources. This is a useful 'looks-right-but-isn't' example: segment and city match, but there is no real operational infrastructure yet for DT to build on.",—,panaceaphytoextracts.com; rocketreach.co/panacea-phytoextracts-pvt-ltd-profile; tracxn.com/d/companies/panacea-phytoextracts; tofler.in
Troikaa Pharmaceuticals Ltd,troikaa.com,Ahmedabad,Complex/regulated pharma - Novel Drug Delivery Systems (NDDS) - Basket B,"Patented pain-management injectables (Dynapar AQ - world's first painless diclofenac injection, Dynapar QPS, NASO B12 nasal Vitamin-B12 delivery); WHO-GMP facilities exporting to 85+ countries","Rs.500Cr+ (Rs.967Cr FY24, up from Rs.843Cr FY23)",Dr. Ketan R. Patel,Chairman & Managing Director,"Gold medalist B.Pharm/M.Pharm, L.M. College of Pharmacy; PhD in Pharmaceutical Technology; holds multiple patents including a US patent - genuine scientist-founder",PASS,"Three WHO-GMP facilities (Thol and Sanand, Gujarat; Dehradun) with defined production capacity per CARE Ratings report",PASS,"HQ (Troikaa House) in Ahmedabad; two of three facilities in Gujarat (Thol, Sanand)",Strong,Multiple NDDS patents; Dynapar AQ is world's first painless diclofenac injection; National R&D Award 2015 from India's Ministry of Science and Technology,Strong,"PhD pharmacist-scientist founder with 40+ years and personal patent portfolio; gen-2 (Asheel, Nisheel Patel) already in marketing/R&D leadership per CARE Ratings",Moderate,Complex/regulated NDDS pharma has steady but not strongly policy-boosted tailwind,Strong,"Revenue grew ~15% YoY (Rs.843Cr to Rs.967Cr, FY23-FY24); new patent launches (Xykaa IM, 2023) and active global trade-show presence (CPHI Frankfurt 2025)",Moderate,"WHO-GMP certification across 3 facilities implies real quality systems, but no direct ERP/SAP confirmation found",Strong,"Gen-2 (Asheel Ketan Patel - US-educated, Nisheel Ketan Patel) in operational roles; Joint MD Milan R. Patel (Chemical Engineer, 35+ yrs) per CARE Ratings",Not scored,D - Auto-disqualify,Fail - Auto-disqualify (revenue exceeds Rs.500Cr ceiling),"Excellent Federer profile on almost every criterion - PhD scientist-founder, real patents, multi-facility WHO-GMP systems, clear gen-2 succession already active - but FY24 revenue of Rs.967Cr is well past the Rs.500Cr ceiling. Correction note: an earlier unverified draft of this research had listed Troikaa's revenue as Rs.100-300Cr and scored it as a top pass (76/100) - that figure was wrong; always verify current revenue directly rather than trusting an unsourced number.",Invented the world's first painless diclofenac injection and holds patents in 90+ countries for it - but has scaled past DT's target revenue band.,troikaa.com/about-us; en.wikipedia.org/wiki/Troikaa_Pharmaceuticals; grokipedia.com/page/troikaa_pharmaceuticals; careratings.com rating report; en.wikipedia.org/wiki/Ketan_Patel
Swiss Parenterals Ltd,swiss.in,Ahmedabad,Complex/regulated pharma - sterile injectables - Basket B,"Generic and specialty sterile injectables (liquid vials, lyo vials, ampoules, pre-filled syringes, eye drops) exported to 80+ countries; EU-GMP, Australian TGA, Brazilian ANVISA, Mexican Cofepris approved facilities","Rs.100-500Cr (Tracxn: Rs.100-500Cr band, 17% 1-yr revenue CAGR, 14% EBITDA CAGR - genuinely growing)",Naishadh Shah,"Director (30% long-term equity partner, in charge of day-to-day operations per India Ratings press release)","Correcting a name error from an earlier unverified draft that called him 'Naresh Shah' - his correct name is Naishadh Vikrambhai Shah, export-and-operations-focused promoter",PASS,"Two manufacturing units in Gujarat with 50+ global regulatory agency accreditations (EU-GMP, TGA, ANVISA, Cofepris, PIC/s) per India Ratings",PASS,HQ in Ahmedabad (Bodakdev/Thaltej); both manufacturing units in Gujarat,Strong,"1,000+ approved dossiers across ~190 molecules; 15-member in-house R&D team with sterile development capabilities including liposomal, microsphere, and depot injections - genuine technical depth",Not scored,Not scored - disqualified on ownership structure,Strong,"Sterile injectables for global regulated markets is a strong-growth, export-oriented pharma sub-sector",Strong,"17% revenue CAGR and 14% EBITDA CAGR (Tracxn); actively hiring (Regulatory Affairs Manager, per LinkedIn); consistent exhibitor at CPHI Frankfurt/India",Moderate,Global regulatory accreditation implies real quality-systems discipline; no direct ERP/SAP confirmation found,Not scored,Not scored - disqualified on ownership structure,0,D - Auto-disqualify,Fail - Auto-disqualify (majority acquired by Eris Lifesciences in Feb 2024),"IMPORTANT CORRECTION: an earlier unverified draft scored this company 56/100 ('Investigate/Potential') without catching a critical fact - in February 2024, listed pharma company Eris Lifesciences acquired a 51% controlling stake in Swiss Parenterals (with the Eris promoter group acquiring a further 19%, for 70% combined institutional/strategic control), per an India Ratings press release. Naishadh Shah retains only a 30% stake as a 'long-term equity partner.' This is the same disqualifying pattern as Fairchem Organics elsewhere in this list - genuine technical strength, but decision-making now sits with an acquiring public company, not an independent founder. Good example of why M&A/growth-signal searches must be run for every candidate.",—,swiss.in/about-swiss; tracxn.com; indiaratings.co.in/pressrelease/68566 (Eris acquisition - critical finding); zaubacorp.com/SWISS-PARENTERALS-LIMITED
Accuprec Research Labs Pvt Ltd,accuprec.com,Ahmedabad (Matoda/Changodar),Contract Research Organization (CRO) - pharma/chemical testing services - services adjacent to Basket A/B,"Regulatory testing, analytical development, biocompatibility, preclinical/toxicological, and stability testing services for pharmaceutical, medical device, chemical, and food companies; DSIR-approved in-house R&D centre","Rs.30-100Cr (Tofler: Rs.1-100Cr operating revenue band FY23; RocketReach ~Rs.50Cr, 192 employees - roughly consistent)",Dr. Manish A. Rachchh,Director (R&D) & CEO,"M.Pharm, PhD, plus multiple additional professional/legal qualifications (PGDIBM, LLB, FRSB, DABT); genuine scientist-founder with deep toxicology/regulatory expertise",PASS (with caveat),"85,000 sq.ft. testing facility on a 5-acre campus with a further 35,000 sq.ft. expansion underway; DSIR-approved in-house R&D centre - NOTE: this is a services/testing company, not a physical-goods manufacturer, so it should be flagged for direct discussion of whether DT's E1 'Producer' gate includes CROs (a common false-positive trap per the assignment's own examples)",PASS,"HQ and full facility located in Ahmedabad (Matoda, Changodar-Bawla Highway)",Strong,"9+ international accreditations (ISO/IEC 17025, OECD-GLP, AAALAC, USFDA, EMA, ASCA-A2LA); DSIR-recognised R&D centre; 11 patented polyherbal formulations developed in-house - genuine, verifiable technical depth rare among CROs this size",Strong,"CEO holds a PhD and multiple specialist certifications (toxicology, risk assessment); co-directors Dr. Rina Gokani (PhD) and Mayur Kandoriya (MBA) form a credentialed, complementary leadership team",Strong,Regulatory testing/CRO services for pharma and med-device sectors is a structurally growing segment as India's pharma exports and medical-device manufacturing scale up,Moderate,"Facility expansion (additional 35,000 sq.ft.) explicitly described as 'in final stage' per company site; continued CPHI Frankfurt/global trade-show presence in 2025 - genuine recent growth signal",Weak,"No ERP/SAP/MIS evidence found; very low authorized/paid-up share capital (Rs.1 lakh) suggests a lean, possibly still process-light back office despite technical sophistication",Moderate,"Three-director structure (Rachchh, Gokani, Kandoriya) with complementary but same-generation backgrounds; no distinct next-gen successor identified",68,B - Potential (pending E1 services clarification),Investigate - Strong candidate contingent on services-vs-manufacturer gate interpretation,"Genuinely exceptional technical and leadership profile (DSIR R&D recognition, PhD-led team, global accreditations) and a real growth signal (facility expansion). The one open question is structural: Accuprec is a testing/research services company, not a physical-product manufacturer, and the assignment materials specifically flag CRO-type companies as a common trap for the E1 'Producer' gate. Recommend a direct question to DT/Internshala about whether service-based technical businesses qualify, rather than assuming either way.","A DSIR-recognized, PhD-led CRO that developed 11 of its own patented polyherbal formulations in-house - unusually deep IP generation for a testing-services company its size.",accuprec.com; crunchbase.com/organization/accuprec-research-labs; zaubacorp.com; tofler.in/accuprec-research-labs; cphi-online.com company listing
Denis Chem Lab Ltd,denischemlab.com,"Ahmedabad (factory in Kalol, Gandhinagar dist.)",Complex/regulated pharma - sterile parenterals - Basket B,"Sterile IV injectables and IV fluids in glass and PP bottles via Blow-Fill-Seal (BFS) technology; antibiotic, diuretic, anti-anaerobic injections","Rs.30-100Cr (net sales ~Rs.41Cr per MarketsMojo FY25 standalone figure; other aggregators show ~Rs.176Cr, likely a different consolidation basis - needs direct confirmation)",Himanshu C. Patel,Managing Director / Executive Director,"Long-tenured promoter family; correcting an error from an earlier unverified draft that named Dinesh B. Patel as MD - Dinesh Patel is actually Chairman & Non-Executive Director, not MD",PASS,"Manufacturing facility at Chhatral, Kalol (Gandhinagar dist.) since 1980; WHO-GMP/ISO certified; BFS plant since 1995/2007",PASS,"Corporate office in Ahmedabad (Satellite); factory in Kalol, Gandhinagar dist. - within the wider Ahmedabad operational corridor but not Ahmedabad city itself, worth flagging per the assignment's city-definition guidance",Moderate,"BFS technology for IV fluids is a real capability edge over basic glass-bottle manufacturers, but sterile IV fluids is a fairly crowded regulated-generics category with no patents or DSIR recognition found",Moderate,"Promoter-family-run (3 generations of Patels on the board per Zaubacorp); no confirmed scientist/PhD background, but 40+ year single-industry tenure and repeated capacity expansions (2018, 2021) suggest real engagement",Moderate,"Sterile IV fluids/parenterals has stable domestic hospital demand and some export tailwind, no strong policy-driven boost identified",Weak,"Tracxn shows only ~4% 1-year revenue CAGR and a -18% EBITDA CAGR (deteriorating profitability); most recent capacity expansion completed back in June 2021, outside the assignment's 18-month growth-signal window",Moderate,"WHO-GMP certification implies documented quality systems, but no direct ERP/SAP/MIS evidence found",Weak,"Multiple family directors of a similar generation (Himanshu, Anar, Dinesh Patel per MCA filings) but no clearly distinct, differently-educated gen-2 successor identified",44,C - Borderline,Borderline - needs further research,"Real BFS manufacturing capability and 40+ year operating history, but financials show declining EBITDA and flat revenue growth (not the 'actively growing' profile DT wants), and no clear succession or systems evidence beyond WHO-GMP certification. Correction note: an earlier unverified draft misnamed the Managing Director as Dinesh B. Patel instead of Himanshu C. Patel - always verify leadership names directly against MCA/company filings before using them in outreach.",Manufactures sterile IV fluids using Blow-Fill-Seal technology - a more advanced process than the standard glass-bottle IV manufacturing still common among smaller competitors.,marketsmojo.com/stocks-analysis/denis-chem-lab; tracxn.com; zaubacorp.com/DENIS-CHEM-LAB-LIMITED; motilaloswal.com; tradeindia.com
Dynemic Products Ltd,dynemic.com,Ahmedabad (Sola),Performance chemicals - food/dye colors - Basket A,"Food colors, lake colors, blended colors, FD&C colors, dye intermediates, salt-free dyes, D&C colors, natural food colors; listed on BSE/NSE","Rs.300-360Cr (PitchBook: trailing 12-month revenue $42.7M as of Sep-2025, ~Rs.355Cr at current exchange rate)",Bhagwandas K. Patel,Executive Chairman & Managing Director,"Correcting a name error from an earlier unverified draft that called him 'Bhagwandas Kalani' - his correct surname is Patel; long-tenured promoter, 468 employees per PitchBook, company established 1990",PASS,"Own manufacturing facility in Ahmedabad (Sola); ISO 9001, ISO 14001, FSSC 22000, and GMP certified; USFDA-certified food color production per company site",PASS,Registered office and manufacturing both in Ahmedabad (Sola / Sarkhej-Gandhinagar Highway),Moderate,"Genuine technical certification depth (FSSC 22000, USFDA-certified food colors) but food/dye coloring is a moderately commoditized category globally with several large competitors; no patents or DSIR recognition found",Moderate,"Family promoter structure (Bhagwandas K. Patel as Chairman/MD, sons Rameshbhai and Dixit B. Patel as Joint Managing Directors) - multi-generational family operation, no confirmed scientist/technical founder background",Moderate,"Food colors and dye intermediates have steady global export demand, not a high-growth policy-boosted category",Moderate,"Listed company (BSE: 532707, NSE: DYNPRO) with continued export operations to multiple markets; no major recent expansion/hiring news found in search",Moderate,"Public-company disclosure requirements imply baseline financial systems, but no direct ERP/SAP confirmation found",Moderate,"Two sons (Rameshbhai and Dixit B. Patel) already serving as Joint Managing Directors alongside the founder-chairman - real succession structure already in place, though same-generation, not yet a distinct third generation",52,B - Potential,Investigate - solid core asset with commodity risk,"Correction note: an earlier unverified draft misnamed the Chairman as 'Bhagwandas Kalani' - his correct name is Bhagwandas K. Patel. The company is real, listed, and has genuine multi-certification manufacturing depth, but sits closer to commodity dye/food-color territory than a highly differentiated specialty player, and growth signals are flat rather than accelerating - worth direct outreach to assess systems maturity and current growth plans rather than a confident pass or fail from public data alone.",—,dynemic.com; pitchbook.com/profiles/company/165023-65; dynemic.com/colours/corporate-information.php; cnbc.com/quotes/DYNPRO-IN
